Timestamp: 57471 ms, Roll: -3.11136 rad, Pitch: -0.0201493 rad
Timestamp: 57481 ms, Roll: -3.11133 rad, Pitch: -0.0211778 rad
Timestamp: 57491 ms, Roll: -3.12246 rad, Pitch: -0.0271787 rad
Timestamp: 57501 ms, Roll: -3.12135 rad, Pitch: -0.0303488 rad
Timestamp: 57511 ms, Roll: -3.1255 rad, Pitch: -0.029163 rad
Timestamp: 57521 ms, Roll: -3.11829 rad, Pitch: -0.0243047 rad
Timestamp: 57531 ms, Roll: -3.11839 rad, Pitch: -0.0231985 rad
Timestamp: 57541 ms, Roll: -3.12047 rad, Pitch: -0.0241348 rad
Timestamp: 57551 ms, Roll: -3.11931 rad, Pitch: -0.0253176 rad
Timestamp: 57561 ms, Roll: -3.12948 rad, Pitch: -0.0292529 rad
Timestamp: 57571 ms, Roll: -3.12025 rad, Pitch: -0.0274259 rad
Timestamp: 57581 ms, Roll: -3.11935 rad, Pitch: -0.0232459 rad
Timestamp: 57591 ms, Roll: -3.11647 rad, Pitch: -0.0261165 rad
Timestamp: 57601 ms, Roll: -3.11946 rad, Pitch: -0.0281547 rad
Timestamp: 57611 ms, Roll: -3.11951 rad, Pitch: -0.0260921 rad
Timestamp: 57621 ms, Roll: -3.11539 rad, Pitch: -0.0261947 rad
Timestamp: 57631 ms, Roll: -3.11738 rad, Pitch: -0.0272305 rad
Timestamp: 57641 ms, Roll: -3.12145 rad, Pitch: -0.026172 rad
Timestamp: 57651 ms, Roll: -3.11942 rad, Pitch: -0.0292184 rad
Timestamp: 57661 ms, Roll: -3.12233 rad, Pitch: -0.0283847 rad
Timestamp: 57671 ms, Roll: -3.12233 rad, Pitch: -0.0283847 rad
Timestamp: 57681 ms, Roll: -3.12125 rad, Pitch: -0.0244052 rad
Timestamp: 57691 ms, Roll: -3.11829 rad, Pitch: -0.0263292 rad
Timestamp: 57701 ms, Roll: -3.11951 rad, Pitch: -0.0230826 rad
Timestamp: 57711 ms, Roll: -3.12137 rad, Pitch: -0.0272879 rad
Timestamp: 57721 ms, Roll: -3.11708 rad, Pitch: -0.025523 rad
Timestamp: 57731 ms, Roll: -3.12127 rad, Pitch: -0.0284417 rad
Timestamp: 57741 ms, Roll: -3.12242 rad, Pitch: -0.0232005 rad
Timestamp: 57751 ms, Roll: -3.12252 rad, Pitch: -0.0210774 rad
Timestamp: 57761 ms, Roll: -3.11839 rad, Pitch: -0.0252149 rad
Timestamp: 57771 ms, Roll: -3.11834 rad, Pitch: -0.0293062 rad
Timestamp: 57781 ms, Roll: -3.11726 rad, Pitch: -0.0314205 rad
Timestamp: 57791 ms, Roll: -3.12038 rad, Pitch: -0.0282689 rad
Timestamp: 57801 ms, Roll: -3.12242 rad, Pitch: -0.0272335 rad
Timestamp: 57811 ms, Roll: -3.11743 rad, Pitch: -0.0201324 rad
Timestamp: 57821 ms, Roll: -3.11652 rad, Pitch: -0.0300717 rad
Timestamp: 57831 ms, Roll: -3.11526 rad, Pitch: -0.0283514 rad
Timestamp: 57841 ms, Roll: -3.12045 rad, Pitch: -0.0221465 rad
Timestamp: 57851 ms, Roll: -3.1224 rad, Pitch: -0.027261 rad
Timestamp: 57861 ms, Roll: -3.11743 rad, Pitch: -0.0291876 rad
Timestamp: 57871 ms, Roll: -3.12236 rad, Pitch: -0.0293384 rad
Timestamp: 57881 ms, Roll: -3.11915 rad, Pitch: -0.0244787 rad
Timestamp: 57891 ms, Roll: -3.12343 rad, Pitch: -0.0242092 rad
Timestamp: 57901 ms, Roll: -3.1196 rad, Pitch: -0.0259879 rad
Timestamp: 57911 ms, Roll: -3.11745 rad, Pitch: -0.023128 rad
Timestamp: 57921 ms, Roll: -3.12032 rad, Pitch: -0.0243058 rad
Timestamp: 57931 ms, Roll: -3.12019 rad, Pitch: -0.0315827 rad
Timestamp: 57941 ms, Roll: -3.1235 rad, Pitch: -0.0311406 rad
Timestamp: 57951 ms, Roll: -3.12246 rad, Pitch: -0.0231538 rad
Timestamp: 57961 ms, Roll: -3.11834 rad, Pitch: -0.0212246 rad
Timestamp: 57971 ms, Roll: -3.11435 rad, Pitch: -0.0282363 rad
Timestamp: 57981 ms, Roll: -3.11542 rad, Pitch: -0.0251623 rad
Timestamp: 57991 ms, Roll: -3.12246 rad, Pitch: -0.0261725 rad
Timestamp: 58001 ms, Roll: -3.12041 rad, Pitch: -0.0272324 rad
Timestamp: 58011 ms, Roll: -3.11627 rad, Pitch: -0.0293641 rad
Timestamp: 58021 ms, Roll: -3.11839 rad, Pitch: -0.0272311 rad
Timestamp: 58031 ms, Roll: -3.11433 rad, Pitch: -0.0262468 rad
Timestamp: 58041 ms, Roll: -3.12047 rad, Pitch: -0.0291603 rad
Timestamp: 58051 ms, Roll: -3.12047 rad, Pitch: -0.0261451 rad
Timestamp: 58061 ms, Roll: -3.12139 rad, Pitch: -0.0262512 rad
Timestamp: 58071 ms, Roll: -3.11919 rad, Pitch: -0.0274811 rad
Timestamp: 58081 ms, Roll: -3.12025 rad, Pitch: -0.0274259 rad
Timestamp: 58091 ms, Roll: -3.12555 rad, Pitch: -0.0250667 rad
Timestamp: 58101 ms, Roll: -3.11843 rad, Pitch: -0.0281824 rad
Timestamp: 58111 ms, Roll: -3.12352 rad, Pitch: -0.0240878 rad
Timestamp: 58121 ms, Roll: -3.12139 rad, Pitch: -0.0272604 rad
Timestamp: 58131 ms, Roll: -3.11542 rad, Pitch: -0.0311977 rad
Timestamp: 58141 ms, Roll: -3.1194 rad, Pitch: -0.0302558 rad
Timestamp: 58151 ms, Roll: -3.11647 rad, Pitch: -0.0241083 rad
